movie_id,actor_id,cast_name,role_priority
1,34178,Penny Singleton,0
1,34179,Arthur Lake,1
1,30223,Larry Simms,2
1,34214,Daisy,3
1,2772,Ann Doran,4
1,34183,Dorothy Moore,5
1,30234,Gene Lockhart,6
1,12502,Jonathan Hale,7
1,34180,Gordon Oliver,8
1,34181,Danny Mummert,9
1,34182,Kathleen Lockhart,10
1,34185,Willie Best,11
1,2782,Ian Wolfe,12
1,1292673,Eugene Anderson Jr,13
1,34505,Stanley Andrews,14
1,121097,Hooper Atchley,15
1,34241,Stanley Brown,16
1,1173491,Mary Jane Carey,17
1,153638,Dick Curtis,18
1,1240252,Edgar Dearing,19
1,34243,Richard Fiske,20
1,3262,James Flavin,21
1,34184,Fay Helm,22
1,106091,George Humbert,23
1,89615,Bud Jamison,24
1,29579,Charles Lane,25
1,1005423,Harold Minjir,26
1,942165,David Newell,27
1,124875,Emory Parnell,28
1,21310,John Rand,29
1,1420879,Bruce Sidney,30
1,34270,Walter Soderling,31
1,135827,Larry Steers,32
1,99376,Josephine Whittell,33
1,30530,Irving Bacon,34
1,48038,Harry Liedtke,0
1,28126,Georg Alexander,1
1,14357,Mady Christians,2
1,14131,Jakob Tiedtke,3
1,1653,Jean-Pierre Léaud,0
1,3536,Marie-France Pisier,1
1,1659,Patrick Auffay,2
1,3537,Rosy Varte,3
1,3518,François Darbon,4
1,3538,Jean-François Adam,5
1,1003228,Pierre Schaeffer,6
1,237623,Cristina Gaïoni,7
1,1003229,Geronimo Meynier,8
1,25789,Eleonora Rossi Drago,9
1,1003230,Nami Tamura,10
1,30906,Koji Furuhata,11
1,37781,Barbara Frey,12
1,32934,Christian Doermer,13
1,51406,Vera Tschechowa,14
1,39044,Werner Finck,15
1,10623,Barbara Lass,16
1,40914,Zbigniew Cybulski,17
1,17889,Władysław Kowalski,18
1,146878,Damian Damięcki,19
1,107633,Jan Englert,20
1,2825,Marian Opania,21
1,1191254,Barbara Sołtysik,22
1,1157939,Jolanta Wołłejko,23
1,39068,Catherine-Isabelle Duport,24
1,84130,Darren Berrecloth,0
1,84143,Cameron McCaul,1
1,112801,Paul Basagoitia,2
1,112818,Brandon Semenuk,3
1,115965,Alex Pro,4
1,112793,Andreu Lacondeguy,5
1,112794,Wayne Goss,6
1,112798,Ben Boyko,7
1,54768,Turo Pajala,0
1,54769,Susanna Haavisto,1
1,4826,Matti Pellonpää,2
1,54770,Eetu Hilkamo,3
1,1177496,Erkki Pajala,4
1,2493350,Matti Jaaranen,5
1,2509142,Hannu Viholainen,6
1,110757,Jorma Markkula,7
1,1034494,Tarja Keinänen,8
1,2509144,Eino Kuusela,9
1,1207858,Kauko Laalo,10
1,2509145,Jyrki Olsonen,11
1,53508,Esko Nikkari,12
1,53512,Marja Packalén,13
1,2509146,Mikko Remes,14
1,4829,Tomi Salmela,15
1,2509147,Reijo Marin,16
1,2509149,Heikki Salomaa,17
1,1207842,Veikko Uusimäki,18
1,56273,Esko Salminen,19
1,2509151,Hannu Kivisalo,20
1,2509152,Pekka Wilen,21
1,110756,Juuso Hirvikangas,22
1,3416563,Heikki Anttila,23
1,4831,Jaakko Talaskivi,24
1,16772,Jouko Lumme,25
1,1416993,Sirkka Rautiainen,26
1,3480732,Markku Rantala,27
1,2289558,Mikko Lyytikäinen,28
1,1948071,Timo Toikka,29
1,1207853,Hanna Jokinen,30
1,2868528,Timo Harakka,31
1,999634,Sami Lanki,32
1,3083060,Kari Helaseppä,33
1,1750241,Timo Markko,34
1,1381113,Olli Varja,35
1,4828,Sakari Kuosmanen,36
1,110763,Pentti Auer,37
1,4826,Matti Pellonpää,0
1,5999,Kati Outinen,1
1,4828,Sakari Kuosmanen,2
1,53508,Esko Nikkari,3
1,1086499,Kylli Köngäs,4
1,222320,Pekka Laiho,5
1,1086500,Jukka-Pekka Palo,6
1,2307211,Svante Korkiakoski,7
1,148389,Mari Rantasila,8
1,1761924,Safka Pekkonen,9
1,2651471,Antti Ortamo,10
1,106172,Mato Valtonen,11
1,69552,Sakke Järvenpää,12
1,2651474,Ulla Kuosmanen,13
1,1294421,Neka Haapanen,14
1,2651478,Pentti Koski,15
1,2651481,Ari Korhonen,16
1,2651483,Teuvo Rissanen,17
1,2651486,Erkki Rissanen,18
1,2651487,Sirkka Silin,19
1,2651488,Marina Martinoff,20
1,2651489,Jussi Tiitinen,21
1,2651491,Riikka Kuosmanen,22
1,3457313,Eskil Mansikka,23
1,4831,Jaakko Talaskivi,24
1,2159274,Haije Alanoja,25
1,3479164,Bertta Pellonpää,26
1,2651545,Helmeri Pellonpää,27
1,1303969,Marja-Leena Hukkanen,28
1,16767,Aki Kaurismäki,29
1,1381113,Olli Varja,30
1,3477088,Tanja Talaskivi,31
1,1912097,Jukka Mäkinen,32
1,3129,Tim Roth,0
1,3130,Jennifer Beals,1
1,3131,Antonio Banderas,2
1,3124,Valeria Golino,3
1,2555,David Proval,4
1,3122,Sammi Davis,5
1,3123,Amanda de Cadenet,6
1,3125,Madonna,7
1,3126,Ione Skye,8
1,3127,Lili Taylor,9
1,3128,Alicia Witt,10
1,3134,Tamlyn Tomita,11
1,3132,Lana McKissack,12
1,3135,Danny Verduzco,13
